AUH,MAG,9W6374,Etihad Airways,1234567,0250,0745
AUH,BRU,9W6367,Etihad Airways,1234567,0250,0720
AUH,MAG,9W6374,Etihad Airways,1234567,0250,0745
AUH,MAG,9W6548,Etihad Airways,1234567,0250,0430
AUH,MAG,9W6548,Etihad Airways,1234567,0250,0410
AUH,MAG,9W6523,Etihad Airways,34567,0250,0910
AUH,MAG,9W6629,Etihad Airways,1234567,0250,0825
AUH,MAG,9W6616,Etihad Airways,34567,0255,0830
AUH,MAG,9W6616,Etihad Airways,1234567,0255,0830
AUH,MAG,9W6624,Etihad Airways,1234567,0255,0755
AUH,MAG,9W6377,Etihad Airways,1234567,0255,0700
AUH,MAG,9W6624,Etihad Airways,1234567,0300,0810
AUH,MAG,9W6624,Etihad Airways,1234567,0300,0810
AUH,MAG,9W6624,Etihad Airways,123456,0300,0810
AUH,MAG,9W6616,Etihad Airways,1234567,0300,0835
AUH,MAG,9W6616,Etihad Airways,1234567,0300,0835
AUH,MAG,9W6576,Etihad Airways,1234567,0305,0835
AUH,MAG,9W6576,Etihad Airways,1234567,0305,0835
AUH,HDD,9W6618,Etihad Airways,1234567,0310,0850
AUH,MAG,9W6576,Etihad Airways,1234567,0315,0835
AUH,MAG,9W6620,Etihad Airways,34567,0320,0825
AUH,MAG,9W6620,Etihad Airways,1234567,0320,0825
AUH,MAG,9W6405,Etihad Airways,1234567,0320,0855
AUH,MAG,9W6569,Etihad Airways,1234567,0330,0545
AUH,MAG,9W6569,Etihad Airways,1234567,0330,0530
AUH,MAG,9W6620,Etihad Airways,1234567,0335,0815
AUH,MAG,9W6620,Etihad Airways,1234567,0335,0815
AUH,MAG,9W6549,Etihad Airways,1234567,0714,0854
AUH,MAG,9W6549,Etihad Airways,1234567,0730,0850
AUH,MAG,9W6550,Etihad Airways,1234567,0759,0939
AUH,MAG,9W6550,Etihad Airways,1234567,0800,0920
AUH,YXU,9W6383,Etihad Airways,1234567,0805,1205
AUH,YXU,9W6383,Etihad Airways,1234567,0810,1300
AUH,YXU,9W6383,Etihad Airways,1234567,0810,1300
AUH,MAG,9W211,Jet Airways,1234567,0810,1325
AUH,MAG,9W511,Jet Airways,1234567,0810,1330
AUH,MAG,9W585,Jet Airways,1234567,0815,1300
AUH,MAG,9W585,Jet Airways,34567,0820,1305
AUH,MAG,9W585,Jet Airways,1234567,0820,1305
AUH,MAG,9W585,Jet Airways,13456,0820,1305
AUH,MAG,9W585,Jet Airways,1234567,0820,1305
AUH,MAG,9W211,Jet Airways,1234567,0820,1335
AUH,MAG,9W211,Jet Airways,1234567,0820,1325
AUH,MAG,9W6651,Etihad Airways,467,0820,1245
AUH,MAG,9W6649,Etihad Airways,1234567,0840,1405
AUH,MAG,9W6649,Etihad Airways,1234567,0840,1400
AUH,MAG,9W6649,Etihad Airways,1234567,0840,1405
AUH,MAG,9W6543,Etihad Airways,34567,0845,1300
AUH,MAG,9W6543,Etihad Airways,1234567,0845,1300
